id,name,host_id,host_name,host_is_superhost,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,room_type,accommodates,beds,price,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,number_of_reviews,review_scores_rating
71609,Villa in Singapore · ★4.44 · 2 bedrooms · 3 beds · 1 private bath,367042,Belinda,False,15,True,Tampines,Private room,3,3,150.0,92.0,1125.0,True,19,4.44
71896,Home in Singapore · ★4.16 · 1 bedroom · 1 bed · Shared half-bath,367042,Belinda,False,15,True,Tampines,Private room,1,1,80.0,92.0,1125.0,True,24,4.16
71903,Home in Singapore · ★4.41 · 1 bedroom · 2 beds · Shared half-bath,367042,Belinda,False,15,True,Tampines,Private room,2,2,80.0,92.0,1125.0,True,46,4.41
275343,Rental unit in Singapore · ★4.40 · 1 bedroom · 1 bed · 2 shared baths,1439258,Kay,False,68,True,Bukit Merah,Private room,1,1,64.0,60.0,1125.0,True,20,4.4
275344,Rental unit in Singapore · ★4.27 · 1 bedroom · 1 bed · 2.5 shared baths,1439258,Kay,False,68,True,Bukit Merah,Private room,1,1,78.0,60.0,1125.0,True,16,4.27
289234,Home in Singapore · ★4.83 · 3 bedrooms · 5 beds · 3 baths,367042,Belinda,False,15,True,Tampines,Private room,4,5,220.0,92.0,1125.0,True,12,4.83
294281,Rental unit in Singapore · ★4.43 · 2 bedrooms · 1 bed · 1 shared bath,1521514,Elizabeth,False,8,True,Newton,Private room,2,1,85.0,92.0,1125.0,True,131,4.43
324945,Rental unit in Singapore · ★3.50 · 1 bedroom · 1 bed · 2 shared baths,1439258,Kay,False,68,True,Bukit Merah,Private room,1,1,75.0,60.0,1125.0,True,17,3.5
330095,Rental unit in Singapore · ★3.80 · 1 bedroom · 1 bed · 2 shared baths,1439258,Kay,False,68,True,Bukit Merah,Private room,1,1,69.0,60.0,1125.0,True,5,3.8
369141,Place to stay in Singapore · ★4.43 · 1 bedroom · 1 bed · 1 bath,1521514,Elizabeth,False,8,True,Newton,Private room,2,1,79.0,92.0,180.0,True,81,4.43
369145,Townhouse in Singapore · ★4.39 · 2 bedrooms · 1 bed · 1 shared bath,1521514,Elizabeth,False,8,True,Newton,Private room,2,1,70.0,92.0,1125.0,True,163,4.39
395191,Rental unit in Singapore · ★4.31 · 1 bedroom · 1 bed · 0 baths,1975201,Adi,False,2,True,River Valley,Private room,1,1,100.0,93.0,365.0,True,27,4.31
468782,Home in Singapore · ★4.69 · 1 bedroom · 1.5 baths,2327208,Jerome,False,3,True,Serangoon,Private room,2,NaN,60.0,92.0,180.0,True,82,4.69
481789,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,2386154,Susan,False,3,False,Tampines,Private room,2,1,37.0,180.0,730.0,False,0,NaN
606784,Condo in Singapore · ★4.82 · 1 bedroom · 1 bed · 2 baths,813925,Happy,False,1,False,Tampines,Private room,2,1,83.0,92.0,150.0,False,76,4.82
642660,Rental unit in Singapore · 1 bedroom · 1 bed · 2 baths,3212572,Roger,False,1,False,Rochor,Private room,2,1,159.0,180.0,730.0,False,0,NaN
654191,Rental unit in Singapore · ★3.0 · 1 bedroom · 1 bed · 1 private bath,2413412,Kaurus,False,182,True,Kallang,Private room,1,1,68.0,92.0,365.0,True,3,3.0
696136,Home in Singapore · ★4.50 · 1 bedroom · 1 bed · 1 bath,1289033,Grace,False,3,True,Bukit Timah,Private room,2,1,100.0,92.0,1125.0,True,26,4.5
733863,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,3824517,Shirlnet,False,2,False,Serangoon,Private room,1,1,26.0,180.0,365.0,False,0,NaN
747813,Condo in Singapore · ★4.63 · 1 bedroom · 1 bed · 1 shared bath,3926646,John,False,6,True,Downtown Core,Private room,4,1,119.0,92.0,1123.0,True,68,4.63
747816,Condo in Singapore · ★4.56 · 1 bedroom · 1 bed · 1 shared bath,3926646,John,False,6,True,Downtown Core,Private room,4,1,119.0,92.0,1124.0,True,25,4.56
756267,Rental unit in Singapore · ★4.73 · 1 bedroom · 1 bed · 1 private bath,1584407,Richard,False,5,True,Marine Parade,Private room,2,1,NaN,92.0,365.0,False,70,4.73
765579,Rental unit in Singapore · 1 bedroom · 1 bed · 2 shared baths,2413412,Kaurus,False,182,True,Outram,Private room,1,1,69.0,92.0,1125.0,True,2,4.0
815685,Rental unit in Singapore · ★4.13 · 1 bedroom · 1 bed · 2 shared baths,1439258,Kay,False,68,True,Bukit Merah,Private room,1,1,55.0,60.0,1125.0,True,16,4.13
819034,Rental unit in Singapore · ★4.78 · 2 bedrooms · 2 beds · 2 baths,1584407,Richard,False,5,True,Marine Parade,Entire home/apt,4,2,NaN,92.0,365.0,False,40,4.78
819044,Rental unit in Singapore · ★4.54 · 1 bedroom · 1 bed · Private half-bath,1584407,Richard,False,5,True,Marine Parade,Private room,2,1,NaN,92.0,365.0,False,70,4.54
823571,Rental unit in Singapore · 1 bedroom · 1 bed,4177147,Tania,False,1,True,Bedok,Private room,1,1,265.0,92.0,1125.0,False,0,NaN
833289,Condo in Singapore · 1 bedroom · 2 beds · 1 private bath,4360831,Laura,False,3,True,Bukit Merah,Private room,2,2,150.0,730.0,1125.0,True,2,5.0
863139,Rental unit in Singapore · 1 bedroom · 1 bed · 1 private bath,2413412,Kaurus,False,182,True,Kallang,Private room,1,1,50.0,92.0,365.0,True,2,5.0
881253,Rental unit in Singapore · ★4.0 · 1 bedroom · 1 bed · 1 private bath,2413412,Kaurus,False,182,True,Outram,Private room,1,1,79.0,92.0,1125.0,True,3,4.0
904378,Condo in Singapore · ★4.71 · 1 bedroom · 1 bed · 1 bath,4837194,Landy,False,2,True,River Valley,Entire home/apt,2,1,193.0,92.0,1125.0,True,34,4.71
915275,Rental unit in Singapore · 1 bedroom · 1 bed · 1 private bath,2413412,Kaurus,False,182,True,Kallang,Private room,1,1,57.0,92.0,1125.0,True,2,4.5
962594,Rental unit in Singapore · 1 bedroom · 1 bed · 1 private bath,2413412,Kaurus,False,182,True,Kallang,Private room,1,1,50.0,92.0,365.0,True,2,5.0
982909,Condo in Singapore · ★4.87 · 1 bedroom · 1 bed · 1 private bath,4723385,Yuan,False,1,True,Novena,Private room,1,1,70.0,92.0,180.0,True,247,4.87
1024986,Condo in Singapore · ★4.84 · 1 bedroom · 1 bed · 1 bath,5643415,Martin,False,1,True,River Valley,Entire home/apt,2,1,233.0,92.0,1125.0,True,258,4.84
1160252,Home in Singapore · ★4.63 · 1 bedroom · 2 beds · 1 bath,2803932,Mariel,NaN,2,True,Serangoon,Private room,1,2,80.0,92.0,1125.0,True,43,4.63
1242205,Townhouse in Singapore · ★4.75 · 3 bedrooms · 3 beds · 4.5 baths,3589987,Sheryl,False,5,True,Marine Parade,Entire home/apt,6,3,470.0,92.0,1125.0,True,8,4.75
1261443,Rental unit in Singapore · 1 bedroom · 1 bed · 1 private bath,2413412,Kaurus,False,182,True,Outram,Private room,1,1,79.0,92.0,1125.0,True,2,5.0
1363204,Rental unit in Singapore · ★4.0 · 1 bedroom · 1 bed · 1 private bath,2413412,Kaurus,False,182,True,Outram,Private room,1,1,69.0,92.0,1125.0,True,3,4.0
1495386,Earthen home in Singapore · ★4.70 · 1 bedroom · 1 bed · 1 bath,7993224,Violet,False,2,True,Pasir Ris,Private room,2,1,50.0,92.0,1125.0,True,10,4.7
1508829,Rental unit in Singapore · ★4.14 · 1 bedroom · 1 bed · 3 shared baths,2413412,Kaurus,False,182,True,Kallang,Private room,1,1,59.0,92.0,365.0,True,7,4.14
1562453,Home in Singapore · 1 bedroom · 4 beds · 1 bath,8270362,Domus,False,5,False,Novena,Private room,4,4,30.0,108.0,1125.0,False,0,NaN
1581224,Townhouse in Singapore · 4 bedrooms · 12 beds · 4 baths,8408341,Gerard,False,2,True,Kallang,Entire home/apt,8,12,130.0,96.0,1125.0,True,0,NaN
